danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.244, 0.936, 4, -7.208, 0, 0.0793, 8.44e-06, 0.0398, 0.429, 0.139, 154.862, audio_features, 49j1UwCxDAO3GIyREYScJ6, spotify:track:49j1UwCxDAO3GIyREYScJ6, https://api.spotify.com/v1/tracks/49j1UwCxDAO3GIyREYScJ6, https://api.spotify.com/v1/audio-analysis/49j1UwCxDAO3GIyREYScJ6, 140800, 4
0.613, 0.924, 10, -7.762, 0, 0.0439, 0.0313, 0.017, 0.322, 0.64, 115.236, audio_features, 5adZJgLKDMlZGDBsVIKVML, spotify:track:5adZJgLKDMlZGDBsVIKVML, https://api.spotify.com/v1/tracks/5adZJgLKDMlZGDBsVIKVML, https://api.spotify.com/v1/audio-analysis/5adZJgLKDMlZGDBsVIKVML, 347067, 4
0.479, 0.902, 1, -11.104, 1, 0.0536, 0.00173, 0.744, 0.302, 0.568, 176.537, audio_features, 6GXHs5QcBswJnoC5IoZ9lp, spotify:track:6GXHs5QcBswJnoC5IoZ9lp, https://api.spotify.com/v1/tracks/6GXHs5QcBswJnoC5IoZ9lp, https://api.spotify.com/v1/audio-analysis/6GXHs5QcBswJnoC5IoZ9lp, 287640, 4
0.783, 0.719, 0, -4.454, 1, 0.054, 0.0104, 0.874, 0.0797, 0.932, 120.131, audio_features, 6IELxA0VjPNUCQDHPA3P1g, spotify:track:6IELxA0VjPNUCQDHPA3P1g, https://api.spotify.com/v1/tracks/6IELxA0VjPNUCQDHPA3P1g, https://api.spotify.com/v1/audio-analysis/6IELxA0VjPNUCQDHPA3P1g, 133160, 4
0.724, 0.601, 11, -10.805, 0, 0.0634, 0.259, 0.237, 0.111, 0.886, 113.227, audio_features, 6MqfTP3OwngywVTOS5OAFt, spotify:track:6MqfTP3OwngywVTOS5OAFt, https://api.spotify.com/v1/tracks/6MqfTP3OwngywVTOS5OAFt, https://api.spotify.com/v1/audio-analysis/6MqfTP3OwngywVTOS5OAFt, 179413, 4
0.532, 0.685, 3, -6.86, 1, 0.0283, 0.00418, 0.00685, 0.282, 0.194, 125.965, audio_features, 6OS8LdGuhTz7kONDDlRpz6, spotify:track:6OS8LdGuhTz7kONDDlRpz6, https://api.spotify.com/v1/tracks/6OS8LdGuhTz7kONDDlRpz6, https://api.spotify.com/v1/audio-analysis/6OS8LdGuhTz7kONDDlRpz6, 300133, 4
0.671, 0.786, 6, -5.753, 0, 0.0315, 0.399, 0, 0.103, 0.963, 128.825, audio_features, 6f1SuRXs5fotwtYxvuHoIW, spotify:track:6f1SuRXs5fotwtYxvuHoIW, https://api.spotify.com/v1/tracks/6f1SuRXs5fotwtYxvuHoIW, https://api.spotify.com/v1/audio-analysis/6f1SuRXs5fotwtYxvuHoIW, 126547, 4
0.465, 0.357, 2, -13.532, 1, 0.0343, 0.487, 0.0121, 0.155, 0.582, 130.74, audio_features, 6zBpwjeoQPbBaqMveqms5k, spotify:track:6zBpwjeoQPbBaqMveqms5k, https://api.spotify.com/v1/tracks/6zBpwjeoQPbBaqMveqms5k, https://api.spotify.com/v1/audio-analysis/6zBpwjeoQPbBaqMveqms5k, 191000, 4
0.378, 0.616, 4, -8.894, 0, 0.0408, 0.308, 0.598, 0.394, 0.135, 111.746, audio_features, 7GPkaA7ZYLKOsZylGPoxDQ, spotify:track:7GPkaA7ZYLKOsZylGPoxDQ, https://api.spotify.com/v1/tracks/7GPkaA7ZYLKOsZylGPoxDQ, https://api.spotify.com/v1/audio-analysis/7GPkaA7ZYLKOsZylGPoxDQ, 305973, 4
0.665, 0.774, 2, -7.633, 1, 0.0425, 0.21, 0.92, 0.114, 0.379, 118.969, audio_features, 7aLmXsjSffnvXlsBrATTn9, spotify:track:7aLmXsjSffnvXlsBrATTn9, https://api.spotify.com/v1/tracks/7aLmXsjSffnvXlsBrATTn9, https://api.spotify.com/v1/audio-analysis/7aLmXsjSffnvXlsBrATTn9, 195973, 4
0.716, 0.935, 10, -4.206, 0, 0.0613, 0.0662, 1.05e-06, 0.0898, 0.961, 100.176, audio_features, 7wotdNGMm6PrQ9xUXYQtVp, spotify:track:7wotdNGMm6PrQ9xUXYQtVp, https://api.spotify.com/v1/tracks/7wotdNGMm6PrQ9xUXYQtVp, https://api.spotify.com/v1/audio-analysis/7wotdNGMm6PrQ9xUXYQtVp, 199627, 4
0.419, 0.517, 8, -9.368, 1, 0.0284, 0.532, 0.0251, 0.0785, 0.905, 145.109, audio_features, 7xRemq7GLu0Tbqe9OckG87, spotify:track:7xRemq7GLu0Tbqe9OckG87, https://api.spotify.com/v1/tracks/7xRemq7GLu0Tbqe9OckG87, https://api.spotify.com/v1/audio-analysis/7xRemq7GLu0Tbqe9OckG87, 186213, 4
0.849, 0.563, 4, -15.252, 0, 0.0722, 0.0455, 0.308, 0.489, 0.964, 121.789, audio_features, 06IMCyZxJLmfBqyKb38ykw, spotify:track:06IMCyZxJLmfBqyKb38ykw, https://api.spotify.com/v1/tracks/06IMCyZxJLmfBqyKb38ykw, https://api.spotify.com/v1/audio-analysis/06IMCyZxJLmfBqyKb38ykw, 387933, 4
0.47, 0.837, 11, -5.229, 0, 0.049, 0.0178, 1.16e-05, 0.0373, 0.707, 94.704, audio_features, 0WTBulRiP4Em89RGXNpGcp, spotify:track:0WTBulRiP4Em89RGXNpGcp, https://api.spotify.com/v1/tracks/0WTBulRiP4Em89RGXNpGcp, https://api.spotify.com/v1/audio-analysis/0WTBulRiP4Em89RGXNpGcp, 160194, 4
0.837, 0.683, 2, -13.546, 1, 0.0979, 0.447, 0.68, 0.179, 0.785, 102.056, audio_features, 0hia3XiJkFZqBkToRyX83g, spotify:track:0hia3XiJkFZqBkToRyX83g, https://api.spotify.com/v1/tracks/0hia3XiJkFZqBkToRyX83g, https://api.spotify.com/v1/audio-analysis/0hia3XiJkFZqBkToRyX83g, 255133, 4
0.629, 0.862, 2, -5.728, 0, 0.0358, 0.191, 0.00623, 0.0681, 0.863, 154.095, audio_features, 1Esg3UuEiKSqdTv8fQ682w, spotify:track:1Esg3UuEiKSqdTv8fQ682w, https://api.spotify.com/v1/tracks/1Esg3UuEiKSqdTv8fQ682w, https://api.spotify.com/v1/audio-analysis/1Esg3UuEiKSqdTv8fQ682w, 163173, 4
0.391, 0.68, 2, -12.042, 1, 0.0404, 0.0655, 0.748, 0.157, 0.8, 185.045, audio_features, 08JnzFfXzjSvxC63J2gcId, spotify:track:08JnzFfXzjSvxC63J2gcId, https://api.spotify.com/v1/tracks/08JnzFfXzjSvxC63J2gcId, https://api.spotify.com/v1/audio-analysis/08JnzFfXzjSvxC63J2gcId, 189667, 4
0.599, 0.691, 9, -4.573, 1, 0.0366, 0.17, 2.55e-06, 0.101, 0.931, 120.79, audio_features, 1jXekDZ8gJ9XhYN5lwklQL, spotify:track:1jXekDZ8gJ9XhYN5lwklQL, https://api.spotify.com/v1/tracks/1jXekDZ8gJ9XhYN5lwklQL, https://api.spotify.com/v1/audio-analysis/1jXekDZ8gJ9XhYN5lwklQL, 196875, 4
0.707, 0.563, 7, -7.706, 1, 0.0257, 0.0765, 0, 0.137, 0.574, 98.012, audio_features, 6HMTFZZKosgOXFQyGWQart, spotify:track:6HMTFZZKosgOXFQyGWQart, https://api.spotify.com/v1/tracks/6HMTFZZKosgOXFQyGWQart, https://api.spotify.com/v1/audio-analysis/6HMTFZZKosgOXFQyGWQart, 242493, 4
0.572, 0.997, 9, -1.538, 1, 0.0617, 0.0103, 2.27e-06, 0.34, 0.724, 141.461, audio_features, 1eCRx33bZ6Z8vP3T3RpfYk, spotify:track:1eCRx33bZ6Z8vP3T3RpfYk, https://api.spotify.com/v1/tracks/1eCRx33bZ6Z8vP3T3RpfYk, https://api.spotify.com/v1/audio-analysis/1eCRx33bZ6Z8vP3T3RpfYk, 193571, 4
0.564, 0.867, 9, -3.9, 1, 0.049, 0.239, 0.783, 0.207, 0.714, 114.624, audio_features, 1zCrjmplbeiO1k1KCs0E1f, spotify:track:1zCrjmplbeiO1k1KCs0E1f, https://api.spotify.com/v1/tracks/1zCrjmplbeiO1k1KCs0E1f, https://api.spotify.com/v1/audio-analysis/1zCrjmplbeiO1k1KCs0E1f, 325993, 4
0.569, 0.777, 0, -3.846, 0, 0.0302, 0.0243, 0.000395, 0.16, 0.495, 173.873, audio_features, 34KHncaS0QzoVSq3weFyEC, spotify:track:34KHncaS0QzoVSq3weFyEC, https://api.spotify.com/v1/tracks/34KHncaS0QzoVSq3weFyEC, https://api.spotify.com/v1/audio-analysis/34KHncaS0QzoVSq3weFyEC, 169695, 4
0.701, 0.682, 5, -7.552, 0, 0.107, 0.0968, 0.0995, 0.116, 0.885, 125.011, audio_features, 37zQe1LypHRLyig1wo7q4G, spotify:track:37zQe1LypHRLyig1wo7q4G, https://api.spotify.com/v1/tracks/37zQe1LypHRLyig1wo7q4G, https://api.spotify.com/v1/audio-analysis/37zQe1LypHRLyig1wo7q4G, 200747, 4
0.742, 0.578, 11, -9.263, 0, 0.0567, 0.00906, 0.81, 0.102, 0.964, 95.047, audio_features, 3bbrRAkdoeVuCffPeRWUUV, spotify:track:3bbrRAkdoeVuCffPeRWUUV, https://api.spotify.com/v1/tracks/3bbrRAkdoeVuCffPeRWUUV, https://api.spotify.com/v1/audio-analysis/3bbrRAkdoeVuCffPeRWUUV, 176760, 4
0.407, 0.979, 4, -5.859, 0, 0.114, 0.00114, 0, 0.0842, 0.335, 102.907, audio_features, 5aDcKVJ7YTgAxyT27S0YVb, spotify:track:5aDcKVJ7YTgAxyT27S0YVb, https://api.spotify.com/v1/tracks/5aDcKVJ7YTgAxyT27S0YVb, https://api.spotify.com/v1/audio-analysis/5aDcKVJ7YTgAxyT27S0YVb, 207693, 4
0.72, 0.897, 9, -5.862, 1, 0.0456, 0.00909, 1.1e-06, 0.132, 0.919, 134.833, audio_features, 3IC0jW5eDggMCsemC4eHTM, spotify:track:3IC0jW5eDggMCsemC4eHTM, https://api.spotify.com/v1/tracks/3IC0jW5eDggMCsemC4eHTM, https://api.spotify.com/v1/audio-analysis/3IC0jW5eDggMCsemC4eHTM, 233960, 4
0.539, 0.311, 2, -9.911, 1, 0.0319, 0.69, 0.911, 0.0532, 0.311, 75.999, audio_features, 4XiRjUElwREYMDh74caLKu, spotify:track:4XiRjUElwREYMDh74caLKu, https://api.spotify.com/v1/tracks/4XiRjUElwREYMDh74caLKu, https://api.spotify.com/v1/audio-analysis/4XiRjUElwREYMDh74caLKu, 493027, 4
