danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.231, 0.888, 2, -3.414, 1, 0.0511, 0.000776, 0.000292, 0.414, 0.368, 90.714, audio_features, 7b16g1E6OAG6HNmAQBgZos, spotify:track:7b16g1E6OAG6HNmAQBgZos, https://api.spotify.com/v1/tracks/7b16g1E6OAG6HNmAQBgZos, https://api.spotify.com/v1/audio-analysis/7b16g1E6OAG6HNmAQBgZos, 243823, 4
0.266, 0.831, 4, -9.07, 1, 0.0453, 0.000862, 0, 0.0555, 0.778, 175.514, audio_features, 0bHm2wFL0m7qZIlhO7PQu5, spotify:track:0bHm2wFL0m7qZIlhO7PQu5, https://api.spotify.com/v1/tracks/0bHm2wFL0m7qZIlhO7PQu5, https://api.spotify.com/v1/audio-analysis/0bHm2wFL0m7qZIlhO7PQu5, 163693, 4
0.556, 0.92, 8, -4.606, 1, 0.0367, 0.00271, 0.00021, 0.117, 0.771, 121.138, audio_features, 0gOyllwzM7IvfuYZ903zNv, spotify:track:0gOyllwzM7IvfuYZ903zNv, https://api.spotify.com/v1/tracks/0gOyllwzM7IvfuYZ903zNv, https://api.spotify.com/v1/audio-analysis/0gOyllwzM7IvfuYZ903zNv, 159227, 4
0.279, 0.636, 6, -12.586, 0, 0.0455, 0.0472, 0.0419, 0.141, 0.466, 178.676, audio_features, 1xulBp54SzvJEBC7kBrxEO, spotify:track:1xulBp54SzvJEBC7kBrxEO, https://api.spotify.com/v1/tracks/1xulBp54SzvJEBC7kBrxEO, https://api.spotify.com/v1/audio-analysis/1xulBp54SzvJEBC7kBrxEO, 389095, 4
0.583, 0.748, 0, -2.782, 1, 0.101, 0.0129, 0, 0.258, 0.781, 160.026, audio_features, 633cq9aJoFCEFYDff2pZ2j, spotify:track:633cq9aJoFCEFYDff2pZ2j, https://api.spotify.com/v1/tracks/633cq9aJoFCEFYDff2pZ2j, https://api.spotify.com/v1/audio-analysis/633cq9aJoFCEFYDff2pZ2j, 164773, 4
0.607, 0.913, 11, -6.822, 1, 0.069, 0.015, 0.118, 0.164, 0.518, 124.677, audio_features, 07JAwmTGx5t3wU6iGbZqnG, spotify:track:07JAwmTGx5t3wU6iGbZqnG, https://api.spotify.com/v1/tracks/07JAwmTGx5t3wU6iGbZqnG, https://api.spotify.com/v1/audio-analysis/07JAwmTGx5t3wU6iGbZqnG, 216453, 4
0.404, 0.607, 9, -6.197, 0, 0.0328, 0.0116, 0.00122, 0.108, 0.134, 77.802, audio_features, 3zw6G70owywCriCNHKDQGH, spotify:track:3zw6G70owywCriCNHKDQGH, https://api.spotify.com/v1/tracks/3zw6G70owywCriCNHKDQGH, https://api.spotify.com/v1/audio-analysis/3zw6G70owywCriCNHKDQGH, 318551, 4
0.271, 0.687, 4, -7.244, 1, 0.0428, 0.00557, 0.117, 0.191, 0.237, 78.11, audio_features, 1c2aSEpFx4g2yp3AVqo45y, spotify:track:1c2aSEpFx4g2yp3AVqo45y, https://api.spotify.com/v1/tracks/1c2aSEpFx4g2yp3AVqo45y, https://api.spotify.com/v1/audio-analysis/1c2aSEpFx4g2yp3AVqo45y, 252824, 4
0.516, 0.781, 8, -4.004, 0, 0.0364, 0.00136, 0.000735, 0.11, 0.897, 116.793, audio_features, 7oXRMDUzBPekkLRTJhSGvC, spotify:track:7oXRMDUzBPekkLRTJhSGvC, https://api.spotify.com/v1/tracks/7oXRMDUzBPekkLRTJhSGvC, https://api.spotify.com/v1/audio-analysis/7oXRMDUzBPekkLRTJhSGvC, 235587, 4
0.602, 0.85, 11, -6.602, 1, 0.1, 0.636, 3.26e-05, 0.663, 0.339, 112.077, audio_features, 0wmaGiDKtKaRf7G8nBfNsQ, spotify:track:0wmaGiDKtKaRf7G8nBfNsQ, https://api.spotify.com/v1/tracks/0wmaGiDKtKaRf7G8nBfNsQ, https://api.spotify.com/v1/audio-analysis/0wmaGiDKtKaRf7G8nBfNsQ, 295587, 4
